id,query,product_title,product_description,median_relevance,relevance_variance,,
4349,an extremely goofy movie,A Goofy Movie (VHS) & An Extremely Goofy Movie (VHS),,4,0,,
4350,golf clubs,Minnesota Vikings Fairway Stand Bag,"Lightweight team color bag is feature full, including integrated top handle, 14-way full length dividers, 6 location with embroidered Team logo or name, 5 zippered pockets, 2 lift assist handles, cooler pocket, fleece lined valuables pouch, removable rain hood, Umbrella holder and towel ring. Officially Licensed.",1,0.471,,
4363,white dress,Little Girls White Velvet Jeweled Top Sparkly Tulle Christmas Dress 2T,"Your little girl will be the center of attention with this lovely Christmas dress by RMLA. It features a white velvet long sleeved top with jeweled accents at neckline, a drop waist with a wide black band and bow attached, a sparkly white tulle skirt. It brings out a chic retro vibe and it makes a great choice for a holiday or festival mood.",3,0.471,,
4364,minecraft diamond sword,Weddingstar 9182-19 Acrylic Diamond Shaped Confetti - Lilac,A simple yet elegant addition for any table top display- The classic diamond shape is well suited for any wedding decor- Each package includes an assortment of 3 sizes to ensure a dazzling effect- SKU: WED4100,1,0,,
4366,anime necklace,Silverplated Best Dog Necklace,"ITEM#: 17195120
Show your love for animals with this 'Best Dog' laborador pendant, crafted with silver overlay. The pendant hangs on an 18-inch cable chain that secures with a spring ring clasp.

Style: Pendant
Color: Silvertone
Metal: Silver overlay
Finish: Textured
Clasp: Spring ring
Pendant dimensions: 21 mm wide x 21 mm long x 1 mm deep
Necklace dimensions: 2 mm wide x 18 inches long

All carat weights and measurements are approximate and may vary slightly from the listed dimensions.",4,0.471,,
4367,infinity scarf,Solid Jersey Infinity Scarf - Assorted Colors,"Enough of those scratchy scarves that make us itch while we're trying to keep warm! What you need is one of these Solid Jersey Infinity Scarves! They're incredibly soft, comfortable to wear, and know how to keep you warm underneath your winter coat. With so many color options to choose from, you may have to get 1 or 2 extras! Don't miss out on this amazing deal today.",2,0,,
4372,white jeans,Women's Carmen Button-Cuff Cropped Jeans - Not Your Daughter's Jeans - Optic white (16),"Tired of choosing between fit and fun? Now you can have both with these slim, cropped NYDJ (Not Your Daughter's Jeans) with convertible, rhinestone-buttoned cuffs. Patented Lift Tuck Technology will have you looking and feeling a full size smaller. Simply step in to see your curves—and your shoes—at their best.",2,0.98,,
4379,ray ban sunglasses,Ray Ban RB3471 Sunglasses - 029/13 Matte Gunmetal (Brown Gradient Lens) - 132mm,"Model: RB34710291332. These Authentic Ray Ban Highstreet RB3471 029/13 Matte Gunmetal (BrownGradient Lens) Sunglasses include an original Ray Ban carrying case,cleaning cloth and a one year manufacturer's warranty against defects.Gender: Mens, Frame Material: Metal, Lens Type: Gradient, Frame Color:Gunmetal, Lens Color: Brown",4,0,,
4381,yoga mat,Gaiam Bloom Yoga Mat,"A Choice You Can Feel Good About

Live | Learn | Grow

Textured non-slip surface
Provides cushion for your body
Lightweight and durable
Solid construction
Durable and chic, Gaiam's Bloom Printed Yoga Mat provides a stable, non-slip surface for your yoga practice.  A great yoga mat will take your practice to the next level.  Perfect for home or studio use, this mat ensures the safety and comfort you need to enhance proper alignment and maintain poses.  Ideal for everyone, from beginners to seasoned yogis.

Gaiam is a combination of ""Gaia"", the ancient name for Mother Earth, and ""I am"", representing your relationship with every living thing.  You are at the heart of the ways we strive to help people and the planet.

�?   We endeavor to work with ethical and fair trade manufacturers whenever feasible.

�?   The majority of our packaging contains an average of 30% post-consumer waste.

�?   Our solar-powered green headquarters features an employee recycling/compost program.

�?   We do our utmost to create the bulk of our products in the most eco-friendly way possible.

Our mission is to create a global community of like-minded individuals to effect positive change.  By purchasing this product, you're helping make the world a greener, healthier home for all of us.",4,1.414,,
4384,table runner,Pacific Table Linens Denim Table Linen and Placemats Reversible Table Runner,WRN1040,4,0,,
4385,face cream,FUJI Bee Venom Cream Reduce Wrinkles  Fine Lines Immediate Face Firm Anti Aging,,4,0.471,,
4389,road bicycle,Piranha 26-inch Trailclimber Bike,"ITEM#: 15757241
The Piranha trailclimber 26-inch is perfect for all your on and off road adventures. The bike features a sturdy steel frame and comes with 18 speed gearing.
Brand: Piranha
Color: Blue
Model: 14326
Available sizes: 26-inch
Frame: Steel
Forks: Suspension 60-millimeter travel
Saddle: Foam, vinyl
Wheels: Steel
Tires: 26-inch
Seat post:
Shifters/speed: Twist shifters 21 speed
Handlebars: Riser
Materials: 90-percent steel, 2.5-percent rubber, 2.5-percent alloy, 2.5-percent foam, 2.5-percent plastic
Seat dimensions: 2 inches high x 6 inches wide x 10 inches deep
Dimensions: 40 inches high x 25 inches wide x 67 inches deep
Assembly required. This bike ships 90-percent assembled.
""",3,0.748,,
4391,toaster oven,VINTAGE RETRO  BLACK & DECKER SPACEMAKER TOASTER OVEN EXCELLENT! UNDER COUNTER,,4,0,,
4392,nike flip flops,Women's Beach Printed Flip Flop Sandal,These Women's Beach Printed Flip Flop Sandals make a solid addition to your collection of footwear. They are made from PVC and rubberlon. These women's flip flop sandals are comfortable to wear and ideal for the beach.,2,0.943,,
4401,brett favre ny titans jersey blue,"Russell NCAA UNC Tar Heels, Boys Short Sleeve Replica Jersey","Your young fan will loves to show off his Russell UNC Tar Heels short sleeve replica Jersey. This Jersey is a look that's sure to him apart from the crowd!
Your young fan will love to show off his Russell UNC Tar Heels short sleeve replica Jersey. This Jersey is a look that's sure to him apart from the crowd! Made from machine-washable 100% Polyester material this UNC Tar Heels Jersey comes in your team colors with a regular-fit body so you can stay comfortable all day long. The screen printed logo are Officially Licensed UNC Tar Heels Apparel.",3,0.471,,
4402,wii gamepad,White Classic Wireless Gamepad Controller Remote For Nintendo Wii U Pro,,2,0,,
4404,adidas fragrance,Adidas Moves Gift Set by Adidas Gift Set for Women Includes 1 oz Eau De Toilette Spray + .5 oz Eau De Toilette Spray,,4,0.471,,
4407,skechers womens shoes,Women's Skechers Shape Ups S2 Lite Black/Hot Pink,"Get sculpted in style with the SKECHERS Shape-ups - S2 Lite shoe. Metallic and patent synthetic leather and mesh fabric upper in a lace up sporty rocker bottom fitness walking sneaker with stitching and overlay accents. Lightweight design. Synthetic and mesh fabric upper is durable, easy care and vegetarian friendly. Lace up athletic training and walking sneaker. Stitching accents. Contrast colored stitching detail. Patent overlays. Side S logo. Lace up front. Soft mesh fabric shoe lining. Cushioned removable antibacterial treated comfort insole. Two part firm and soft density midsole for rocking effect. S2 Lite support system provides stability for greater versatility. Ultra soft full length Resamax ® kinetic wedge increases instability for fitness effect. 1 3/4 inch midsole at highest point. Durable high abrasion rubber traction outsole. Details: S2 Lite design is lighter weight for all day wear, yet offers an intense calorie burning fitness effect. Rates a full 5 out of 5 on the burn meter for an intense fitness effect. Vegetarian friendly design - a first for rocker bottom Shape-ups shoes. Very light weight 12 to 18oz per shoe.",3,0.894,,
4418,silver necklace,Mondevio Sterling Silver Dove Bird Necklace,,4,0,,
4420,gucci guilty intense women,GUCCI GUILTY INTENSE PARFUM 3pcs Gift Set Women 1.6 oz,,4,0,,
4423,wireless mouse,2.4GHz Cordless Wireless Optical USB Mouse Mice 4 Laptop PC Black #B,,2,0.943,,
4425,iphone 5,Araree 'Amy Arts' Artwork Phone Case for iPhone 5/5s,,2,0.471,,
4429,toaster oven,"Hamilton Beach 6-Slice Convection Toaster/Broiler Oven, Candy Apple Red","Are you looking for a way to add some spice to your kitchen? Look no further, because this new Candy Apple Red Hamilton Beach Convection Toaster Oven Broiler will do just that. This toaster oven with the Candy Apple finish not only looks fantastic, but also comes with all the functionality you desire. Convection cooking saves time and money as the fan circulates heated air around the food to cook more evenly than a traditional oven. Reheats food 28 percent faster and uses 71 percent less energy than a traditional oven. This Hamilton Beach Convection Toaster Oven Broiler comes with bake, convection, broil, toast settings, timer and automatic shutoff. In addition, the large capacity interior is large enough to cook a 12-inch pizza. Also the Hamilton Beach 6-Slice Toaster Oven comes with a bake pan, broil rack and slide-out crumb tray for easy cleaning.",4,0,,
4430,dr who lanyard,Sperry Top-Sider Men's Lanyard Boat Shoes (Linen) - 10.0 M,,1,0,,
4434,white jeans,Women's Carmen Button-Cuff Cropped Jeans - Not Your Daughter's Jeans - Optic white (6),"Tired of choosing between fit and fun? Now you can have both with these slim, cropped NYDJ (Not Your Daughter's Jeans) with convertible, rhinestone-buttoned cuffs. Patented Lift Tuck Technology will have you looking and feeling a full size smaller. Simply step in to see your curves—and your shoes—at their best.",2,1.166,,
4436,wireless mouse,Logitech M317 Wireless Mouse - Pink/Black (910-003907),"The Logitech M317 Wireless Mouse in Pink and Black offers the freedom of a wireless mouse with an extra injection of personality. The bright pink top makes this practical tech accessory energetic and adds a bit of playfulness to your workspace. The mouse has sculpted black sides for comfortable grip and a built-in scroll wheel for easy navigation. Built with your comfort in mind, this Logitech mouse has an ergonomic design for decreased hand fatigue. Set up is easy with the included USB receiver. This wireless mouse runs on one AA battery.",4,0,,
4440,iphone 4 case,Belkin Grip Candy Case for iPhone 4 - Black (F8W084ebC01),,4,0.943,,
4451,wireless mouse,"NWE 2.4 GHz Wireless USB  Optical 3D Mouse For APPLE Macbook Mac, White Color",,4,0,,
4452,ps3 memory card,Thrustmaster T300RS Officially Licensed Force Feedback Racing Wheel (PS4 / PS3),Feel the game in your hands with the first PlayStation 4-compatible Thrustmaster T300RS Officially Licensed Force Feedback Racing Wheel. The 1080-degree force feedback base features an industrial-class brushless motor for a super-smooth and seamless force feedback effect. HallEffect AccuRate Technology features a contactless magnetic sensor so that precision won't decrease over time. This Thrustmaster racing wheel will put you in the game like you've never felt before.,3,0.894,,
4453,dual headset splitter,3.5MM Male to Dual Female Headset Headphone Audio Splitter Extension Light Cord,,3,0.471,,
4454,hawaiian shirt,Men's O'Neill Maya Bay Orange,"Perfect for all summer festivities, the Jack O'Neill Maya Bay Hawaiian print button up shirt is lightweight, breathable, and finished off with wooden button detail.",4,0.471,,
4456,punch bowls,Corelle Livingware Serving Bowl,,4,0.943,,
4457,watch women fossil,Fossil Women's BQ1095 'Clarissa' Goldtone Watch,"Sparkling crystals are set along the bezel of this sophisticated watch from Fossil. Oversized markers and a stunning goldtone design complete this versatile timepiece.

        Case: Stainless steel
        Caseback: Snap-down
        Dial: Goldtone
        Hands: Goldtone
        Markers: Arabic numerals, dot indices
        Bracelet: Stainless steel
        Clasp: Deployment
        Crystal: Mineral
        Crown: Push/pull
        Movement: Quartz
        Water resistance: 5 ATM/50 meters/165 feet
        Case measurements: 40 mm long x 9 mm thick
        Bracelet measurements: 20 mm wide x 7 inches long
        Model: BQ1095

    All measurements are approximate and may vary slightly from the listed dimensions.

    Women's watch bands can be sized to fit 6.5-inch to 7.5-inch wrists.

    Click here to view our Watch Sizing Guide.

Dimensions:
    5 in. H x 5 in. W x 5 in. L
Warranty:
    1 year Limited Distributor
Materials:
    Stainless steel, Mineral
Model No:
    BQ1095

Brand: Fossil",4,0,,
4458,kitchen faucet,Restoration Satin Nickel Water Filter Kitchen Faucet,,4,0,,
4460,flea and tick control for dogs,Sergeant's Bansect squeeze on flea and tick control for dogs over 33lbs 1 tube,,4,0.471,,
4461,cross strap backpack,Backpack Messenger Bag Cross Body Organizer Single Strap Sling Shoulder Carryall Black Backpack,The Leopard Print High Heels are a great pair of shoes to match almost any jungle cat costume with. These can be worn to help create your own cat costume or finish up an existing one. These feature five inch heels.-----Leopard Print High Heels,3,0.748,,
4464,glitter vials,Martha Stewart 480127 Martha Stewart Fine Glitter 3-Pkg-Artic,EK SUCCESS-Martha Stewart Glitter and Glue Set. Use these coordinated glitter colors with the included glue to make beautiful glittering designs on cards and other paper crafts! This package contains three 0.37 ounce vials of glitter and one 0.18 fl. ounce tube of glue. Imported.Dimensions: Height: 5Width: 3.8Depth: 1.25,2,0.471,,
4468,mens dress shirts,George Big Men's Long Sleeve Poplin Dress Shirt,"Get attractive daily wear that has professional flair with the George Men's Long-Sleeve Poplin Shirt. Designed with an office-ready silhouette and constructed in comfortable poplin fabric, this men's long-sleeve shirt is sure to become a wardrobe favorite. The men's poplin shirt is relaxed in the torso so that you can enjoy comfortable movement even in warm temperatures. With long sleeves for all-occasion wear, you can transition the men's poplin shirt from summer to winter with the addition of a sweatshirt or jacket. Comfortable for meetings or an out-of-town conference, the George Men's Long-Sleeve Poplin Shirt is a smart wardrobe basic. With a collared neckline and button-up style, you'll easily fashion the versatile men's long-sleeve shirt for casual occasions and outdoor BBQs. Whether you favor it as a casual basic or daily work wear, this solid-color George Men's Long-Sleeve Poplin Shirt is a fine wardrobe buy.",4,0,,
4470,bluetooth speaker,Philips Large Portable Bluetooth Speaker - Black (BT3500B/37),"Quality style and big sound merge in a body so slim it can be slipped in everywhere. Built-in NFC technologies makes smartphone pairing as easy as a touch. This speaker has advanced audio performance with a slim design and impressive 10W RMS. This speaker is also equipped with anti-clipping function for loud, distortion free music and a built in microphone for hands free phone calls. It has a built in rechargeable battery for music playback anywhere and can be toted along with you anywhere!",4,0,,
4472,refrigerator,2.4 cu. ft. Compact Refrigerator - Black,,4,0.8,,
4483,kitchenaid glass bowl,KitchenAid Candy Apple 6-quart Pro 600 Design Series Stand Mixer,"Powerful enough for nearly any task or recipe, whether you're stirring wet and dry ingredients together, kneading bread dough or whipping cream. This mixer's bowl-lift design provides sturdy bowl support for stability when mixing heavy ingredients or large batches. The lever smoothly raises the mixing bowl into position for efficient beater to bowl contact.",2,1.095,,
4484,gym gloves,Boys Jordan Micro Polar Fleece Gloves - Grade School - Black/Gym Red,,3,0.471,,
4488,duck dynasty,Duck Dynasty: Season 6 - Duck-Luxe Edition (Walmart Exclusive) (Widescreen),"Season 6 of ""Duck Dynasty"" on A&E brings more family funny business from the Robertson's. There are goings-on with everyone, from the guys re-branding Duck Commander to the governor of Lousiana giving Wille an award to the return of the dreaded beavers! Watch as the elder Robertson's share their special brand of wisdom with the kids along the way: Phil teaches Bella more than Willie was hoping about nature, Jep and Jessica chaperone Lily's first date, and Jase takes Reed frog-hunting the night before his high school graduation. Somehow, it all comes together.

Never Before Seen On TV.

Subtitles: English SDH (Subtitles For Deaf And Hearing Impaired) And Spanish.",3,0.632,,
4489,hat rack,White Wood Coat Rack,"ITEM#: 16467071
Modern and versatile, this white coat rack is the perfect way to organize your coats and hats without drawing attention to them. This rack is constructed of solid wood and features six convenient hooks to hold all your belongings.

Six (6) hooks
Set includes: One (1) coat rack
Materials: Wood
Finish: White
Dimensions: 65 inches high x 16 inches wide x 12 inches deep",3,1.03,,
4491,harleydavidson,Harley-Davidson: The Spirit of America,"The documentary Harley Davidson: The Spirit of America follow a Harley riding family as they venture from California to Milwaukee. The film presents footage of these popular machines, along with a look at the various types of people who consider themselves motorcycle enthusiasts. The documentary also attempts to communicate to the viewer how the beauty of the American landscape looks to motorcycle riders. The film aired on many PBS stations around the United States. ~ Perry Seibert, Rovi",3,0,,
4492,thomas the train,Fisher-Price Thomas and Friends TrackMaster Sodor Spiral Expansion Pack,"Build your Thomas & Friends world bigger and taller with the TrackMaster Sodor Spiral Expansion Pack from Fisher-Price! TrackMaster track has been redesigned to deliver an authentic Thomas & Friends experience with stronger connector plugs and a more realistic railway look. Your motorized TrackMaster engines will spiral towards adventure as they race up this steep incline and down the twisting corkscrew or send them in the opposite direction! Connect this set to other TrackMaster expansion packs or playsets to create your own custom-made Island of Sodor! Includes track pieces, building risers, and two track adaptors, so you can connect the new TrackMaster track to the previous model (engines sold separately). Features: Includes straight and curved track pieces and building risers. Connects to other TrackMaster playsets, track packs and expansion packs (sold separately). Includes 2 track adaptors, designed so you can connect the new TrackMaster track to the previous model. Perfect addition to your expandable, connectable, motorized Thomas & Friends TrackMaster world.",2,0.943,,
4496,acoustic guitar clamp,Dunlop GA24 Acoustic Guitar Accessory Pack,"The Dunlop GA24 Acoustic Guitar Accessory Pack is the perfect gift for beginning acoustic guitar players and a good value for any guitarist.

You get 3 light sets of Dunlop Phosphor Bronze acoustic guitar strings. These strings are made with the finest materials and are custom-wound onto a high carbon steel hex core. They offer players a warm full-bodied tone with incredible clarity and dynamics. The Dunlop formula creates strings that are exceptionally long-lived; they break in fast and stay bright so you can spend more time playing and less time changing your strings. Whether your finger picking or strumming your bass notes will remain focused, chords will ring out and harmonics will pop and sing. Every set of Dunlop Strings come packaged utilizing three levels of moisture protection and sealed in a VCI Fresh Technology (Vapor Corrosion Inhibitor) bag to guarantee that your strings arrive as fresh as the day they were made.
String Gauges Light: 12, 16, 24, 32, 42, 54

Included in the package is Dunlops 228 Medium sized brass-plated chrome slide which will combine the brighter tone of the chrome with the weight and sustain of the brass. The Dunlop Elastic Capo has an ergonomic shape and padded handle make fret positioning easy. Its strong spring action clamps it firmly in place. The capo is for standard guitars with flat fretboards only. Youll also get a variety of Torex�?teardrop shaped picks from light to medium gauge. They maximum memory and minimum wear and are constructed of Torex material for a good grip.",4,0.943,,
4497,double stroller,AmorosO 42702 Blue Twin Double Stroller,Durable stroller with stylish design and is one of the most feature rich strollers on the market- T and C fabric- Two canopies- Without reclining seat- 3 Point harness- Fit to car trunk- EVA wheel - 6 x 12 In- Two net bags at handle- Dimensions - 27 x 27 x 39 In- Item Weight - 16 Lb- Color - Blue- SKU: AMRS027,4,0,,
4499,beats headphones,Beats by Dr. Dre Rose Gold Mixr Headphones,,2,0.943,,
4500,tv,Sceptre X508BV-FHD - 50,"Sceptre 50"" diagonal LCD Full HD TV (X508BV-FHD) delivers top of the line picture and audio quality at an amazing value. This LCD HDTV features a sleek and slim look that will give your home a new feeling with its enchanted glossy black housing that shines elegantly throughout the room. The built-in ATSC/NTSC/QAM and surround sound helps provide you with vivid and stunning images and sound so you can watch it all day long. The marvelous screen with an ultra fast response time of 8 ms lets you watch your favorite shows and movies flicker free, a high resolution of 1920 x 1080 to help enhance the image to look crisper and sharper, and the amazing 4000:1 contrast that automatically helps balance the images to look more vivid and lifelike. This TV also comes with a added bonuses of the 3 HDMI ports that lets you play all your high play any high-definition device with the eases of a single cord and the USB port that helps further expand the functionality, allowing users to listen to music and view digital pictures quickly and conveniently.",4,0,,
4505,wireless mouse,Microsoft Wireless Mobile Mouse 3500,"Grab your Microsoft Wireless Mobile Mouse 3500 and go. With the Microsoft Wireless Mouse 3500, you experience a nano transceiver and a mouse that works on more surfaces, thanks to BlueTrack Technology. Equipped with an on/off switch for added convenience, the Microsoft Mobile Mouse 3500 features an ergonomic design for ultimate comfort. The Microsoft Wireless Mobile Mouse 3500 is great to use at home, when working in cafes and on the go.",4,0,,
4514,electric blanket,Sunbeam Electric Heated Fleece Warming Throw Blanket Garnet Red,,4,0,,
4515,wii,Super Monkey Ball: Banana Blitz (Wii),"AiAi and friends come to the Wii! An action-packed extravaganza of unique new puzzles and madcap multiplayer gameplay, Super Monkey Ball Banana Blitz takes the ground-breaking Wii remote and shows the world exactly what it can do. Players will be able to make their characters jump for the first time in the Super Monkey Ball universe with a simple upward flick motion using the Wii remote. A barrel-load of thrilling new party games, including Whack-a-Mole and Ring Toss, will keep the party rolling for hours.",3,1.095,,
4517,galaxy note 3,INSTEN Premium Plain Color TPU Rubber Candy Skin Phone Case Cover For Samsung Galaxy Note 3,"This is an INSTEN TPU case for Samsung Galaxy Note 3. Not compatible with: Samsung Galaxy note, note ii, note iii neo.",4,0.943,,
4523,fuji bike shirt,Fuji I Love BJJ Men's T-Shirt - Small - Black,,2,0.748,,
4526,rice cooker,Panasonic White 5-cup Rice Cooker/ Steamer,"Make up to ten cups of delicious sticky, brown or white rice with this user-friendly rice cooker. Featuring a push button design for ease of operation, this versatile rice cooker features four additional settings for maximum potential.",4,0,,
4527,tote bag,York Buckled Straw Tote Bag - Tory Burch,,4,0,,
4528,three wheeled bike,Mobo Mobito The Ultimate Youth Three Wheeled Purple Cruiser,"An exciting addition to the Mobo® brand, Mobito is sized just for kids and includes all of the features that riders have come to expect: impeccable mobility, maximum comfort, innovative design, and safety features galore. Parents love the ergonomic back support with six angle settings and adjustable frame designed to fit and grow with their child, while kids love that the Mobo Mobito is built for fun and excitement. The all new emergency brake feature and rear-wheel automatic alignment allows for quick turns and stylish cruising. The ultimate eye catcher, the Mobo Mobito is a great way to promote healthy exercise while navigating the next adventure.",4,0,,
4529,high chairs,Modway Veer Mesh Fabric High Back Office Chairs,"This black mesh-back office chair is designed for the person who spends long hours sitting. The foam-padded seat and arm rests offer incredible support and comfort, and the mesh back allows air to ventilate, helping to keep you cool all day.",2,0.943,,
4531,harleydavidson,"At the Creation: Myth, Reality, and the Origin of the Harley-Davidson Motorcycle, 1901-1909 (Paperback)","At the Creation by Herbert Wagner brings to life the human side of Harley-Davidson's quest to motorize the bicycle and then to promote it as a powerful, fast, reliable, and thrilling means of personal transportation. This book examines the origins of two-wheeled transportation from a time when combining the gasoline engine with the bicycle was the province of dreamers and con men. This is the definitive account of the beginnings of the only American motorcycle brand to ultimately succeed and survive.
Backed by a decade of research, At the Creation documents for the first time the early years of the Harley-Davidson motorcycle in its birthplace of Milwaukee, Wisconsin, an area that was an early center of motorcycle manufacturing. Previous books on Harley-Davidson have failed to adequately cover this critical period, which has been described as the ""era of mystery"" by Harley-Davidson company historian Martin Jack Rosenblum. At the Creation takes on several long-standing puzzles and myths, and then, through the use of period documents and original photographs, recreates the actual events of Harley's first years as they most plausibly occurred.
Herbert Wagner is a recognized authority on Harley-Davidson motorcycles. He has written or contributed to five other books and has published many articles on the subject. He recently contributed to Forbes magazine's special Harley-Davidson 100 year anniversary publication. He has also served as a consulting historian for Harley-Davidson Motor Co., Inc.'s Annual Reports. The author is an active motorcycle rider and has restored several older Harleys to original vintage condition.
Author: Wagner, Herbert
Genre:TRANSPORTATION / Motorcycles / History
Audience:College/higher education
Edition:1
Format:Paperback
Pages:228
Language:English
Publisher: Wisconsin Historical Society
Publish Date:08/01/2003
Copyright Year:2003
ISBN:9780870203510
Height: 8.75 in
Wdth: 7.75 in
Thickness: 0.5 in",2,0.8,,
4537,wired xbox 360 controller,"Microsoft Xbox 360 Controller for Windows - Game pad - wired - for PC, Microsoft Xbox 360",,4,0,,
4541,electric griddle,Hamilton Beach Hb Electric Griddle,,4,0,,
4543,solar battery charger,Solar PL2320 6/12v 20/10/2a Pro Logix Battery Charger,"features and benefits:
fully automatic operation �?simply choose your voltage, battery type and desired charge rate, and press charge, the charger does the rest and turns off when the battery has reached full charge
provides the ability to properly charge virtually any lead acid battery type: conventional, agm, gel cell, spiral wound, marine and deep cycle batteries
advanced multi-phase charging process delivers a proper, beneficial charge every time, improving battery health and restoring reserve capacity
features a soft start mode for severely depleted batteries and a recondition mode to rejuvenate distressed batteries
two tools in one, the pl2320 incorporates a fully automatic charging routine plus a fully automatic battery maintenance routine once the battery has reach full charge - this enhanced maintenance mode is ideal for long term storage of seasonal use vehicles and more
the charger incorporates a number of safety features to make charging safer for both the operator and the battery being charged, including reverse polarity protection and battery fault detection. Combining fully automatic operation and the ability to properly charge multiple battery types, the pro-logix pl2320 is the perfect charger to meet the needs of today’s and tomorrow’s professional technician. Intelligent, beneficial, safe and versatile �?one charger does it all, from fast charging and battery repair to battery maintenance and long term storage",4,0,,
4554,golf clubs,"Adams Men's Idea Tech V4 Hybrid #4, #5, #6 Hybrid, 7-PW, GW Iron Set","Adams Idea Tech V4 Hybrid Iron Set features Cut-Thru sole slot design increases ball speed and launch and adds extra distance on off-center shots. Velocity Slot Technology in the hybrids add forgiveness and flexion, making it effortless to catapult the ball online towards its intended target. With a Heel and toe perimeter weighting in the long hybrid-irons optimally places the center of gravity for maximum forgiveness and higher launching shots and Tungsten heel or toe perimeter weighting in the long irons provides optimal CG location for increased forgiveness and higher launch.",4,0,,
4555,an extremely goofy movie,Teenage Mutant Ninja Turtles (2014) (DVD + Digital HD) (Widescreen),"Acontece uma grande confusão na Segunda Temporada, quando as Tartarugas acidentalmente perdem 63 tubos de mutagênicos por toda Nova York! Mesmo percorrendo a cidade para localizá-los e recuperá-los, é tarde demais, pois novas ameaças e vilões mutantes aparecem! Inclui: A Situação Mutante; Siga o Líder; A Invasão dos Esquilonoides; Homem Mutagênico a Solta; Mikey com Espinha.  Extras: Ninjas em Nova YorkNoticiário do Canal 6Denúncias Especiais: Criaturas da Noite CARACTERISTICAS: Ano de Produção: 2013 Código da Região: Região 4 - América do Sul e Central Idioma do Áudio: Inglês, Português, Espanhol Idioma da Legenda: Não tem País de Produção: Estados Unidos Sistema de Som: Dolby Digital 5.1, Dolby Digital 2.0",1,0,,
4558,golf clubs,WILSON HOPE Womens Ladies Right Handed Complete Golf Club Set w/ Cart Bag,"The Women's Wilson Hope Golf Set carries on a proud tradition of stylish & dependable golfing equipment that elevates your game. This set is especially designed with the characteristics of women players in mind. For nearly a century, Wilson Golf has designed, manufactured and distributed premium and recreational golf equipment throughout the world. Wilson has won 61 Major championships, more than any other manufacturer in history.

Join the team and purchase the Women's Wilson Hope Golf Set from VMInnovations. Play the game and support breast cancer research!

Complete Set Includes:
Graphite Shaft Driver

Graphite Shaft Fairway Wood

Steel Shaft 5 Hybrid

Steel Shaft Irons (6, 7, 8, 9, PW & SW)

Steel Shaft Putter",4,0.471,,
4566,metal lathe,NOVA 8012 Infinity Quick Change System,"After years of research and development, NOVA is changing the wood-turning game once again with the 8012 Infinity Quick Change System. It is a sophisticated line high technology chuck with accessories that offer a quick change of jaws, much stronger grip, an uninterrupted range of compression and expansion sizes, as well as enhanced work holding capacities.The Infinity Quick Change jaw design delivers amazingly fast jaw change outs, and solves the major problem with changing jaws on conventional woodturning chucks where screws are often hard to remove and can stick in place, making accessory change outs slow and cumbersome. The Infinity Quick Change System is designed so all four jaw segments can be removed and different jaws positively locked in place under 30 seconds. This makes it easy and fast to mount the right jaws and change out jaws for the next project or multiple projects, and will save you countless hours over the lifetime of your turning work. The 8012 Infinity Chuck comes with #3 Bowl accessory jaws for those who are purchasing NOVA for the first time, or who want a full chuck alongside their existing NOVA equipment. It provides the same benefits as the SuperNOVA2, but with Infinity Quick Change technology. This option provides a solid geared chuck with full duracon composite indexing backing plate, handle and Infinity Jaw technology.The Infinity Quick Change Chuck is compatible with lathes with up to a 20 in. swing, its Infinity Jaw key and Jaw slides are precision cast and sintered from a metal amalgam, three times the tensile strength of machine grade steel. This chuck is also secure with an embedded dovetail design, providing a stronger and more rigid hold than the original NOVA screws and jaws. They are also taper locked in line with the forward rotation",3,0.943,,
4577,soda stream,"SodaStream Cola Sodamix, 500 ml","Turn water into fresh, delicious soda! SodaStream is a smarter way to enjoy soda. Each SodaStream Mix including this SodaStream Cola Sodamix, contains enough syrup to make about 12 liters or 33 cans of fresh, delicious soda. This SodaStream Sodamix, 500 ml contains no aspartame and is low in sodium so it's not only an affordable alternative to store-bought sodas, it's a healthy one as well! Get this SodaStream Cola Sodamix and enjoy a soda whenever you want! Use this SodaStream Sodamix with a SodaStream soda maker that turns tap water into sparkling water in under 30 seconds.",4,0.471,,
4578,snow boots,Cold Front Youth Snow Buster Winter Boot,"The Cold Front Youth Winter Boot provides your young ones with outstanding protection. It features a cool look that children love. This snow boot is ideal for running around, sledding and playing outside.",4,0,,
4579,hair accessories,Goody Double Wear Girls Stacking Bars Elastics - Assorted,"Goody ®  Double Wear �?accessories offers you style and convenience! Sparkle, shine and shimmer with two-in-one accessories that are designed to give you a beautiful look on your wrist when you are not wearing them in your hair.  Never worry about losing your accessory again with new Double Wear by Goody. Upgrade your look and collect all the Double Wear Accessories to mix, match, and stack your style! Charmed bar Finishes include Silver and Gold.",4,1.414,,
4581,stick vacuum,Shark Swivel Cordless Sweeper Floor Carpet Rechargeable Stick Vacuum Cleaner,,4,0,,
4586,road bicycle,22LBS ONLY 54cm Aluminum ROAD BIKE RACING Bicycle Cycling 21 Speed Shimano BLACK,,4,0,,
